First Name,Last Name,Position,Jersey,Team,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Charlie,Kitchen,A,11,Waterdogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pat,Aslanian,SSDM,9,Cannons,10,1,0,0,0,0,1,3,0,1,0.3333333333333333,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,,0
Roman,Puglise,SSDM,8,Whipsnakes,9,5,3,1,2,5,0,8,0.375,3,0.375,4,0.5,2,10,4,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,,0
Zach,Geddes,SSDM,13,Chaos,10,6,3,3,0,3,3,9,0.3333333333333333,6,0.6666666666666666,3,0,1,19,3,4,0,0,0,0,0,0,0,0,0,0,0,3,1.5,0,0,0,0,,0
Brendan,Nichtern,A,20,Chrome,2,2,1,1,0,1,1,7,0.14285714285714285,4,0.5714285714285714,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Wheaton,Jackoboice,M,15,Whipsnakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
John,Piatelli,A,20,Redwoods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mike,Sisselberger,FO,99,Archers,10,4,3,3,0,3,1,12,0.25,9,0.75,1,0,1,115,15,1,254,173,78,0.6811023622047244,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Connor,Maher,SSDM,31,Archers,10,6,5,5,0,5,1,9,0.5555555555555556,8,0.8888888888888888,0,0,0,16,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Piper,Bond,SSDM,54,Archers,10,3,0,0,0,0,3,9,0,4,0.4444444444444444,2,0,1,15,7,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,,0
