First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Ian,MacKay,94,M,6,5,3,2,1,4,1,21,0.14285714285714300,12,0.5714285714285710,7,0.14285714285714300,6,4,6,0,3,1,2,0.3333333333333330,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
Drew,Adams,14,G,6,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,41,0.4880952381,45,12.787370498273300,2,0.5683275777,10135,0,0,0,0,0,0,,0
Dominique,Alexander,23,M,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dan,Eipp,3,M,5,1,1,1,0,1,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Christian,Cuccinello,30,A,5,5,3,3,0,3,2,10,0.3,7,0.7,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ben,McIntosh,90,M,5,6,6,6,0,6,0,21,0.2857142857142860,16,0.7619047619047620,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Grant,Maloof,,,4,2,1,1,0,1,1,3,0.3333333333333330,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Luke,Anderson,,,5,3,2,2,0,2,1,4,0.5,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Chase,Levesque,,,4,3,2,2,0,2,1,3,0.6666666666666670,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Miles,Silva,,,5,4,4,4,0,4,0,11,0.36363636363636400,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,MacSpadyen,,,5,4,4,4,0,4,0,13,0.3076923076923080,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Decker,Curran,,,5,5,5,5,0,5,0,21,0.23809523809523800,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Colin,Minicus,,,5,6,4,4,0,4,2,10,0.4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Colin,Burke,,,5,6,4,4,0,4,2,27,0.14814814814814800,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Reilly,O'Connor,,,5,7,6,6,0,6,1,18,0.3333333333333330,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Andrew,Pettit,,,5,8,6,6,0,6,2,18,0.3333333333333330,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tyson,Gibson,,,5,9,8,8,0,8,1,26,0.3076923076923080,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jon,Mazza,,,5,9,6,6,0,6,3,28,0.21428571428571400,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ben,Martin,,,5,10,9,9,0,9,1,18,0.5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Daniel,Bucaro,,,5,15,13,13,0,13,2,48,0.2708333333333330,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Taylor,Stuart,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kyle,Pless,,,5,2,0,0,0,0,2,1,0,0,0,0,0,0,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Andrew,Newbold,,,5,1,1,1,0,1,0,11,0.09090909090909090,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kyle,Marr,,,4,2,1,1,0,1,1,20,0.05,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Lee,,,5,20,18,18,0,18,2,59,0.3050847457627120,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Charlie,Hayes,,,5,1,1,1,0,1,0,1,1,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brian,Begley,,,5,2,1,1,0,1,1,3,0.3333333333333330,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Chris,Aslanian,,,5,17,7,7,0,7,10,20,0.35,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bradley,Voigt,,,5,17,16,16,0,16,1,30,0.5333333333333330,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bryan,Cole,,,5,5,5,5,0,5,0,17,0.29411764705882400,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bobby,Duvnjak,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Greg,Danseglio,,,4,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brian,Kormondy,,,5,6,5,5,0,5,1,11,0.45454545454545500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tim,Barber,,,4,3,2,2,0,2,1,4,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Patrick,Resch,34,M,7,3,3,3,0,3,0,3,1,3,1,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Myles,Jones,15,M,6,13,6,4,2,8,5,30,0.2,18,0.6,6,0.3333333333333330,5,7,10,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,,0
Miles,Thompson,2,A,7,5,4,4,0,4,1,11,0.36363636363636400,10,0.9090909090909090,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
Matt,Rees,44,LSM,7,0,0,0,0,0,0,4,0,2,0.5,3,0,1,17,3,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
